municipio_ine	localidad	codigo_postal
01059	MENDIGUREN	01196
01059	YURRE/IHURRE	01196
01051	AGURAIN	01200
01051	SALVATIERRA	01200
01027	ARRIETA	01206
01013	AUDIKANA	01206
01013	BARRUNDIA	01206
01013	DALLO	01206
01013	ELGEA	01206
01013	ETURA	01206
01013	ETXABARRI-URTUPIÑA	01206
01027	EZKEREKOTXA	01206
01027	GAZEO	01206
01013	GEBARA	01206
01013	HEREDIA	01206
01027	LANGARIKA	01206
01013	MARIETA-LARRINTZAR	01206
01013	MATURANA	01206
01013	MENDIJUR	01206
01013	OZAETA	01206
01053	ADANA	01207
01027	ALAITZA	01207
01051	ALANGUA	01207
01051	ARRIZALA	01207
01053	BIKUÑA	01207
01053	DURRUMA DONEMILIAGA	01207
01053	EGILATZ	01207
01051	EGILEOR	01207
01053	EGUILAZ	01207
01027	GEREÑU	01207
01027	JAUREGI	01207
01053	MEZKIA	01207
01053	MUNAIN	01207
01053	OKARIZ	01207
01051	OPAKUA	01207
01053	SAN ROMAN DE SAN MILLAN	01207
01053	TXINTXETRU	01207
01053	ULLIBARRI-JAUREGI	01207
01053	URIBARRI-JAUREGI	01207
01053	VICUÑA	01207
01009	ALBEIZ	01208
01009	ALBENIZ	01208
01009	AMETZAGA (ASPARRENA)	01208
01009	ARRIOLA (ASPARRENA)	01208
01053	ASPURU	01208
01053	AXPURU	01208
01053	BARRIA	01208
01053	DONEMILIAGA	01208
01053	ERDOÑANA	01208
01053	GALARRETA	01208
01009	GORDOA	01208
01013	HERMUA	01208
01013	LARREA	01208
01053	LUZURIAGA	01208
01053	NARBAIZA	01208
01053	ORDOÑANA	01208
01053	SAN MILLAN	01208
01061	ZALDUONDO	01208
01053	ZUAZO DE SAN MILLAN	01208
01053	ZUHATZU DONEMILIAGA	01208
01044	BAROJA	01211
01014	BERANTEVILLA	01211
01014	ESCANZANA	01211
01006	LACORZANA	01211
01014	LACORZANILLA	01211
01014	MIJANCAS	01211
09109	MORAZA	01211
01044	PAGOETA	01211
01044	PAYUETA	01211
01030	PIPAON	01211
01014	SANTURDE	01211
01014	TOBERA	01211
01062	BERGANZO	01212
01028	GATZAGA BURADON	01212
01044	LOZA	01212
01044	MONTORIA	01212
01062	OCIO	01212
01044	PEÑACERRADA	01212
01062	PORTILLA	01212
01028	SALINILLAS DE BURADON	01212
01014	SANTA CRUZ  FIERRO	01212
01044	URIZAHARRA	01212
01062	ZAMBRANA	01212
01902	CAICEDO DE YUSO	01213
01902	COMUNION	01213
01047	ERRIBERA BEITIA	01213
01047	IGAI	01213
01902	KAICEDO BEHEKOA	01213
01902	KOMUNIOI	01213
01902	LANTARON	01213
01902	LECIÑANA DEL CAMINO	01213
01902	LEZIÑANA	01213
01047	MELLEDES	01213
01902	MOLINILLA	01213
01047	QUINTANILLA DE LA RIBERA	01213
01047	RIBERA BAJA	01213
01047	RIVABELLOSA	01213
01902	SALCEDO	01213
01046	SAN MIGUEL	01213
01902	TURISO	01213
01046	VILLABEZANA	01213
01902	ZUBILLAGA	01213
01016	ARLUZEA	01216
01044	FAIDO	01216
01016	MARKINEZ	01216
01016	URARTE	01216
01046	ANTEZANA DE LA RIBERA	01220
01006	ARMIÑON	01220
01006	ESTAVILLO	01220
01014	LACERVILLA	01220
01046	LECIÑANA DE LA OCA	01220
01047	MANZANOS	01220
01047	RIVAGUDA	01220
01901	IRUÑA DE OCA	01230
01901	IRUÑA OKA	01230
